time,pitch,roll,heading,aileronInput,elevatorInput,Baro_altitude,Baro_vertical_speed,Baro_temperature,GPS_locked,GPS_coord_x,GPS_coord_y,GPS_altitude,GPS_heading,GPS_speed,GPS_satellites,aileronTrim,elevatorTrim
9.049,4.81,137.5,194.31,-1.0,0.0,16.26,-0.03,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
9.249,4.81,137.5,194.31,-1.0,0.0,16.29,0.01,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
9.449,4.81,137.5,194.31,-1.0,0.0,16.29,0.0,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
9.649,4.81,137.5,194.31,-1.0,0.0,16.27,-0.02,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
9.849,4.81,137.5,194.31,-1.0,0.0,16.3,0.01,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
10.049,4.81,137.5,194.31,-1.0,0.0,16.27,-0.02,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
10.249,4.81,137.5,194.31,-1.0,0.0,16.26,-0.02,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
10.449,4.81,137.5,194.31,-1.0,0.0,16.28,0.01,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
10.649,4.81,137.5,194.31,-1.0,0.0,16.29,0.02,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
10.849,4.81,137.5,194.31,-1.0,0.0,16.33,0.05,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
11.049,4.81,137.5,194.31,-1.0,0.0,16.34,0.05,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
11.249,4.81,137.5,194.31,-1.0,0.0,16.32,0.02,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
11.449,4.81,137.5,194.31,-1.0,0.0,16.33,0.03,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
11.649,4.81,137.5,194.31,-1.0,0.0,16.37,0.07,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
11.85,4.81,137.5,194.31,-1.0,0.0,16.35,0.03,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
12.05,4.81,137.5,194.31,-1.0,0.0,16.37,0.04,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
12.25,4.81,137.5,194.31,-1.0,0.0,16.31,-0.03,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
12.45,4.81,137.5,194.31,-1.0,0.0,16.28,-0.05,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
12.65,4.81,137.5,194.31,-1.0,0.0,16.28,-0.04,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
12.85,4.81,137.5,194.31,-1.0,0.0,16.28,-0.03,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
13.05,4.81,137.5,194.31,-1.0,0.0,16.26,-0.04,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
13.25,4.81,137.5,194.31,-1.0,0.0,16.29,-0.0,29.97,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
13.451,4.81,137.5,194.31,-1.0,0.0,16.25,-0.05,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
13.651,4.81,137.5,194.31,-1.0,0.0,16.25,-0.04,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
13.851,4.81,137.5,194.31,-1.0,0.0,16.23,-0.05,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
14.051,4.81,137.5,194.31,-1.0,0.0,16.28,0.01,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
14.251,4.81,137.5,194.31,-1.0,0.0,16.31,0.04,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
14.451,4.81,137.5,194.31,-1.0,0.0,16.38,0.1,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
14.651,4.81,137.5,194.31,-1.0,0.0,16.35,0.05,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
14.851,4.81,137.5,194.31,-1.0,0.0,16.32,0.01,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
15.051,4.81,137.5,194.31,-1.0,0.0,16.29,-0.01,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
15.251,4.81,137.5,194.31,-1.0,0.0,16.3,-0.0,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
15.451,4.81,137.5,194.31,-1.0,0.0,16.33,0.02,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
15.651,4.81,137.5,194.31,-1.0,0.0,16.25,-0.06,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
15.851,4.81,137.5,194.31,-1.0,0.0,16.23,-0.07,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
16.051,4.81,137.5,194.31,-1.0,0.0,16.21,-0.08,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
16.251,4.81,137.5,194.31,-1.0,0.0,16.23,-0.04,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
16.451,4.81,137.5,194.31,-1.0,0.0,16.23,-0.03,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
16.651,4.81,137.5,194.31,-1.0,0.0,16.27,0.02,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
16.851,4.81,137.5,194.31,-1.0,0.0,16.26,-0.0,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
17.051,4.81,137.5,194.31,-1.0,0.0,16.25,-0.0,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
17.251,4.81,137.5,194.31,-1.0,0.0,16.29,0.03,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
17.451,4.81,137.5,194.31,-1.0,0.0,16.3,0.03,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
17.651,4.81,137.5,194.31,-1.0,0.0,16.27,-0.0,29.98,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
17.851,4.81,137.5,194.31,-1.0,0.0,16.24,-0.03,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
18.051,4.81,137.5,194.31,-1.0,0.0,16.27,0.01,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
18.251,4.81,137.5,194.31,-1.0,0.0,16.29,0.02,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
18.451,4.81,137.5,194.31,-1.0,0.0,16.28,0.01,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
18.651,4.81,137.5,194.31,-1.0,0.0,16.26,-0.02,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
18.851,4.81,137.5,194.31,-1.0,0.0,16.27,0.0,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
19.051,4.81,137.5,194.31,-1.0,0.0,16.25,-0.02,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
19.251,4.81,137.5,194.31,-1.0,0.0,16.27,-0.0,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
19.451,4.81,137.5,194.31,-1.0,0.0,16.27,-0.0,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
19.651,4.81,137.5,194.31,-1.0,0.0,16.27,0.0,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
19.851,4.81,137.5,194.31,-1.0,0.0,16.24,-0.03,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
20.051,4.81,137.5,194.31,-1.0,0.0,16.27,0.01,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
20.251,4.81,137.5,194.31,-1.0,0.0,16.29,0.02,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
20.451,4.81,137.5,194.31,-1.0,0.0,16.31,0.03,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
20.651,4.81,137.5,194.31,-1.0,0.0,16.26,-0.02,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
20.851,4.81,137.5,194.31,-1.0,0.0,16.26,-0.02,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
21.051,4.81,137.5,194.31,-1.0,0.0,16.27,-0.0,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
21.251,4.81,137.5,194.31,-1.0,0.0,16.27,-0.01,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
21.451,4.81,137.5,194.31,-1.0,0.0,16.31,0.03,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
21.651,4.81,137.5,194.31,-1.0,0.0,16.3,0.02,29.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
